# 1000 microtubules and no tubulin all aligned in the same ~direction
# Type GID LeftCoordX LeftCoordY LeftCoordZ RightCoordX RightCoordY RightCoordZ GroupID
C 0 0.1 6.5004845 0.16148007 6.2382864 7.5004845 0.16148007 6.2382864 0
C 1 0.1 6.3860884 9.5630127 0.62087983 7.3859748 9.5485425 0.62510632 0
C 2 0.1 -0.35262593 3.4529611 4.9001593 0.64737407 3.4529611 4.9001593 0
C 3 0.1 7.5419787 4.9900167 6.9742822 8.5401263 4.9301266 6.9635767 0
C 4 0.1 6.7748632 0.6319126 7.5271032 7.7748632 0.6319126 7.5271032 0
C 5 0.1 0.66389548 1.7640086 7.3328637 1.6638955 1.7640086 7.3328637 0
C 6 0.1 0.31903626 6.2096994 3.8956673 1.3190363 6.2096994 3.8956673 0
C 7 0.1 4.1330199 0.17965431 6.1589396 5.1330199 0.17965431 6.1589396 0
C 8 0.1 2.1395716 4.4440784 2.2766431 3.1395716 4.4440784 2.2766431 0
C 9 0.1 8.2545768 0.68312179 4.8920111 9.2545768 0.68312179 4.8920111 0
C 10 0.1 8.3157901 8.5309856 7.249309 9.3157901 8.5309856 7.249309 0
C 11 0.1 6.8633896 9.8217925 9.5002177 7.8633896 9.8217925 9.5002177 0
C 12 0.1 7.8117785 2.454507 1.8738035 8.8117785 2.454507 1.8738035 0
C 13 0.1 9.2497476 4.2801221 7.8712086 10.249748 4.2801221 7.8712086 0
C 14 0.1 1.3266422 8.8689931 3.6079403 2.3266422 8.8689931 3.6079403 0
C 15 0.1 9.0170827 9.4383275 0.39636497 10.017083 9.4383275 0.39636497 0
C 16 0.1 1.7551761 5.003362 7.4820795 2.7551761 5.003362 7.4820795 0
C 17 0.1 2.1752974 2.3833677 5.6547092 3.1752974 2.3833677 5.6547092 0
C 18 0.1 8.2595132 0.15383152 9.046796 9.2594864 0.16040352 9.0500269 0
C 19 0.1 0.96486505 7.0654725 2.2491423 1.9648651 7.0654725 2.2491423 0
C 20 0.1 3.823817 2.4547489 5.8407702 4.823817 2.4547489 5.8407702 0
C 21 0.1 7.141964 6.1929413 4.792995 8.1400381 6.1484581 4.8362298 0
C 22 0.1 6.6913124 4.85591 4.6033494 7.6913124 4.85591 4.6033494 0
C 23 0.1 2.9476387 5.7743224 4.6202018 3.947477 5.7916256 4.6250939 0
